source_file,combine_into,question_number
2006,fav_china,Q2c_Fav_China
2007,fav_china,Q16C
2008,fav_china,Q10c
2009,fav_china,Q11C
2010,fav_china,Q7C
2011,fav_china,Q3C
2012,fav_china,Q8C
2013,fav_china,Q9C
2014,fav_china,Q15B
2015,fav_china,Q12B
2016,fav_china,Q10B
2017,fav_china,fav_China
2018,fav_china,fav_China
2019,fav_china,FAV_CHINA
2020,fav_china,fav_China
2021,fav_china,FAV_CHINA
2022,fav_china,fav_china
2023,fav_china,fav_china
2006,gender,Sex
2007,gender,Q107
2008,gender,Q75
2009,gender,Q80
2010,gender,Q120
2011,gender,Q111
2012,gender,Q141
2013,gender,Q164
2014,gender,Q132
2015,gender,Q145
2016,gender,q107
2017,gender,sex
2018,gender,sex
2019,gender,SEX
2020,gender,sex
2021,gender,SEX
2022,gender,sex
2023,gender,sex
2006,age,Age
2007,age,Q108
2008,age,Q76
2009,age,Q81
2010,age,Q121
2011,age,Q112
2012,age,Q142
2013,age,Q165
2014,age,Q133
2015,age,Q146
2016,age,q108
2017,age,age
2018,age,age
2019,age,AGE
2020,age,age
2021,age,AGE
2022,age,age
2023,age,age
2006,country,country
2007,country,country
2008,country,country
2009,country,COUNTRY
2010,country,COUNTRY
2011,country,COUNTRY
2012,country,COUNTRY
2013,country,COUNTRY
2014,country,COUNTRY
2015,country,COUNTRY
2016,country,country
2017,country,Country
2018,country,COUNTRY
2019,country,country
2020,country,country
2021,country,public
2022,country,country
2023,country,country
2006,weight,weight
2007,weight,Weight
2008,weight,weight
2009,weight,WEIGHT
2010,weight,WEIGHT
2011,weight,WEIGHT
2012,weight,WEIGHT
2013,weight,WEIGHT
2014,weight,weight
2015,weight,WEIGHT
2016,weight,weight
2017,weight,weight
2018,weight,weight
2019,weight,weight
2020,weight,weight
2021,weight,weight
2022,weight,weight
2023,weight,weight
